State,CD#,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Georgia,12,R+9,Rick Allen,R,99420,159492,0,38.4%,61.6%,0.0%,23.2%,"60,072",x,Trump
Georgia,13,D+16,David Scott,D,252833,0,0,100.0%,0.0%,0.0%,-100.0%,"-252,833",x,Clinton
Georgia,14,R+26,Tom Graves,R,0,216743,0,0.0%,100.0%,0.0%,100.0%,"216,743",x,Trump
Hawaii,1,D+18,Colleen Hanabusa,D,145417,45958,10982,71.9%,22.7%,5.4%,-49.2%,"-99,459",x,Clinton
Hawaii,2,D+21,Tulsi Gabbard,D,170848,39668,0,81.2%,18.8%,0.0%,-62.3%,"-131,180",x,Clinton
Idaho,1,R+18,Raul Labrador,R,113052,242252,53,31.8%,68.2%,0.0%,36.4%,"129,200",x,Trump
Idaho,2,R+17,Mike Simpson,R,95940,205292,25005,29.4%,62.9%,7.7%,33.5%,"109,352",x,Trump
Illinois,1,D+28,Bobby Rush,D,234037,81817,8,74.1%,25.9%,0.0%,-48.2%,"-152,220",x,Clinton
Illinois,2,D+29,Robin Kelly,D,235051,59471,0,79.8%,20.2%,0.0%,-59.6%,"-175,580",x,Clinton
Illinois,3,D+5,Dan Lipinski,D,225320,0,91,100.0%,0.0%,0.0%,-100.0%,"-225,320",x,Clinton
Illinois,4,D+29,Luis Gutierrez,D,171297,0,0,100.0%,0.0%,0.0%,-100.0%,"-171,297",x,Clinton
Illinois,5,D+16,Mike Quigley,D,212842,86222,14660,67.8%,27.5%,4.7%,-40.4%,"-126,620",x,Clinton
Illinois,6,R+4,Peter Roskam,R,143591,208555,0,40.8%,59.2%,0.0%,18.4%,"64,964",x,Clinton
Illinois,7,D+36,Danny Davis,D,250584,46882,0,84.2%,15.8%,0.0%,-68.5%,"-203,702",x,Clinton
Illinois,8,D+8,Raja Krishnamoorthi,D,144954,103617,0,58.3%,41.7%,0.0%,-16.6%,"-41,337",x,Clinton
Illinois,9,D+15,Jan Schakowsky,D,217306,109550,92,66.5%,33.5%,0.0%,-33.0%,"-107,756",x,Clinton
Illinois,10,D+8,Brad Schneider,D,150435,135535,26,52.6%,47.4%,0.0%,-5.2%,"-14,900",x,Clinton
Illinois,11,D+8,Bill Foster,D,166578,108995,0,60.4%,39.6%,0.0%,-20.9%,"-57,583",x,Clinton
Illinois,12,EVEN,Mike Bost,R,124246,169976,18780,39.7%,54.3%,6.0%,14.6%,"45,730",x,Trump
Illinois,13,EVEN,Rodney Davis,R,126811,187583,0,40.3%,59.7%,0.0%,19.3%,"60,772",x,Trump
Illinois,14,R+5,Randy Hultgren,R,137589,200508,0,40.7%,59.3%,0.0%,18.6%,"62,919",x,Trump
Illinois,15,R+14,John Shimkus,R,0,274554,0,0.0%,100.0%,0.0%,100.0%,"274,554",x,Trump
Illinois,16,R+4,Adam Kinzinger,R,0,259722,131,0.0%,99.9%,0.1%,99.9%,"259,722",x,Trump
Illinois,17,D+7,Cheri Bustos,D,173125,113943,0,60.3%,39.7%,0.0%,-20.6%,"-59,182",x,Trump
Illinois,18,R+11,Darin LaHood,R,96770,250506,7,27.9%,72.1%,0.0%,44.3%,"153,736",x,Trump
Indiana,1,D+10,Peter Visclosky,D,207515,0,47068,81.5%,0.0%,18.5%,-81.5%,"-207,515",x,Clinton
Indiana,2,R+6,Jackie Walorski,R,102401,164355,10601,36.9%,59.3%,3.8%,22.3%,"61,954",x,Trump
Indiana,3,R+13,Jim Banks,R,66023,201396,19828,23.0%,70.1%,6.9%,47.1%,"135,373",x,Trump
Indiana,4,R+11,Todd Rokita,R,91256,193412,14766,30.5%,64.6%,4.9%,34.1%,"102,156",x,Trump
Indiana,5,R+9,Susan Brooks,R,123849,221957,15329,34.3%,61.5%,4.2%,27.2%,"98,108",x,Trump
Indiana,6,R+12,Luke Messer,R,79135,204920,12330,26.7%,69.1%,4.2%,42.4%,"125,785",x,Trump
Indiana,7,D+13,Andre Carson,D,158739,94456,11475,60.0%,35.7%,4.3%,-24.3%,"-64,283",x,Clinton
Indiana,8,R+8,Larry Bucshon,R,93356,187702,13655,31.7%,63.7%,4.6%,32.0%,"94,346",x,Trump
Indiana,9,R+9,Trey Hollingsworth,R,130627,174791,17425,40.5%,54.1%,5.4%,13.7%,"44,164",x,Trump
Iowa,1,D+5,Rod Blum,R,177403,206903,671,46.1%,53.7%,0.2%,7.7%,"29,500",x,Trump
Iowa,2,D+4,Dave Loebsack,D,198571,170933,528,53.7%,46.2%,0.1%,-7.5%,"-27,638",x,Trump
Iowa,3,EVEN,David Young ,R,155002,208598,26687,39.7%,53.4%,6.8%,13.7%,"53,596",x,Trump
Iowa,4,R+5,Steve King,R,142993,226719,547,38.6%,61.2%,0.1%,22.6%,"83,726",x,Trump
Kansas,1,R+23,Roger Marshall,R,0,169992,87979,0.0%,65.9%,34.1%,65.9%,"169,992",x,Trump
Kansas,2,R+8,Lynn Jenkins,R,96840,181228,19333,32.6%,60.9%,6.5%,28.4%,"84,388",x,Trump
Kansas,3,R+6,Kevin Yoder,R,139300,176022,27791,40.6%,51.3%,8.1%,10.7%,"36,722",x,Clinton
Kansas,4,R+14,Mike Pompeo,R,81495,166998,26758,29.6%,60.7%,9.7%,31.1%,"85,503",x,Trump
Kentucky,1,R+18,James Comer,R,81710,216959,332,27.3%,72.6%,0.1%,45.2%,"135,249",x,Trump
Kentucky,2,R+16,Brett Guthrie,R,0,251825,0,0.0%,100.0%,0.0%,100.0%,"251,825",x,Trump
Kentucky,3,D+4,John Yarmuth,D,212401,122093,0,63.5%,36.5%,0.0%,-27.0%,"-90,308",x,Clinton
Kentucky,4,R+16,Thomas Massie,R,94065,233922,0,28.7%,71.3%,0.0%,42.6%,"139,857",x,Trump
Kentucky,5,R+25,Hal Rogers,R,0,221242,0,0.0%,100.0%,0.0%,100.0%,"221,242",x,Trump
Kentucky,6,R+9,Andy Barr,R,128728,202099,0,38.9%,61.1%,0.0%,22.2%,"73,371",x,Trump
Louisiana,1,R+26,Steve Scalise,R,63785,243645,19358,19.5%,74.6%,5.9%,55.0%,"179,860",x,Trump
Louisiana,2,D+23,Cedric Richmond,D,284269,0,0,100.0%,0.0%,0.0%,-100.0%,"-284,269",x,Clinton
Louisiana,3,R+19,Clay Higgins,R,56215,258632,5607,17.5%,80.7%,1.7%,63.2%,"202,417",x,Trump
Louisiana,4,R+13,Mike Johnson,R,80593,199750,5642,28.2%,69.8%,2.0%,41.7%,"119,157",x,Trump
Louisiana,5,R+15,Ralph Abraham,R,0,255662,0,0.0%,100.0%,0.0%,100.0%,"255,662",x,Trump
Louisiana,6,R+21,Garret Graves,R,79202,241075,10821,23.9%,72.8%,3.3%,48.9%,"161,873",x,Trump
Maine,1,D+9,Chellie Pingree,D,227546,164569,276,58.0%,41.9%,0.1%,-16.0%,"-62,977",x,Clinton
Maine,2,D+2,Bruce Poliquin,R,159081,192878,224,45.2%,54.8%,0.1%,9.6%,"33,797",x,Trump
Maryland,1,R+14,Andy Harris,R,103622,242574,15901,28.6%,67.0%,4.4%,38.4%,"138,952",x,Trump
Maryland,2,D+10,Dutch Ruppersberger,D,192183,102577,14720,62.1%,33.1%,4.8%,-29.0%,"-89,606",x,Clinton
Maryland,3,D+9,John Sarbanes,D,214640,115048,9987,63.2%,33.9%,2.9%,-29.3%,"-99,592",x,Clinton
Maryland,4,D+26,Anthony Brown,D,237501,68670,14479,74.1%,21.4%,4.5%,-52.7%,"-168,831",x,Clinton
Maryland,5,D+14,Steny Hoyer,D,242989,105931,11714,67.4%,29.4%,3.2%,-38.0%,"-137,058",x,Clinton
Maryland,6,D+4,John Delaney,D,185770,133081,13122,56.0%,40.1%,4.0%,-15.9%,"-52,689",x,Clinton
Maryland,7,D+24,Elijah Cummings,D,238838,69556,10518,74.9%,21.8%,3.3%,-53.1%,"-169,282",x,Clinton
Maryland,8,D+11,Jamie Raskin,D,220657,124651,19016,60.6%,34.2%,5.2%,-26.4%,"-96,006",x,Clinton
Massachusetts,1,D+13,Richard Neal,D,235803,0,85736,73.3%,0.0%,26.7%,-73.3%,"-235,803",x,Clinton
Massachusetts,2,D+8,Jim McGovern,D,275487,0,4924,98.2%,0.0%,1.8%,-98.2%,"-275,487",x,Clinton
Massachusetts,3,D+6,Niki Tsongas,D,236713,107519,360,68.7%,31.2%,0.1%,-37.5%,"-129,194",x,Clinton
