State,,,CD#,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Iowa,IA,-,3,EVEN,David Young ,R,"155,002","208,598","26,687",39.7%,53.4%,6.8%,13.7%,"53,596",x,Trump
Iowa,IA,-,4,R+5,Steve King,R,"142,993","226,719",547,38.6%,61.2%,0.1%,22.6%,"83,726",x,Trump
Kansas,KS,-,1,R+23,Roger Marshall,R,0,"169,992","87,979",0.0%,65.9%,34.1%,65.9%,"169,992",x,Trump
Kansas,KS,-,2,R+8,Lynn Jenkins,R,"96,840","181,228","19,333",32.6%,60.9%,6.5%,28.4%,"84,388",x,Trump
Kansas,KS,-,3,R+6,Kevin Yoder,R,"139,300","176,022","27,791",40.6%,51.3%,8.1%,10.7%,"36,722",x,Clinton
Kansas,KS,-,4,R+14,Mike Pompeo,R,"81,495","166,998","26,758",29.6%,60.7%,9.7%,31.1%,"85,503",x,Trump
Kentucky,KY,-,1,R+18,James Comer,R,"81,710","216,959",332,27.3%,72.6%,0.1%,45.2%,"135,249",x,Trump
Kentucky,KY,-,2,R+16,Brett Guthrie,R,0,"251,825",0,0.0%,100.0%,0.0%,100.0%,"251,825",x,Trump
Kentucky,KY,-,3,D+4,John Yarmuth,D,"212,401","122,093",0,63.5%,36.5%,0.0%,-27.0%,"-90,308",x,Clinton
Kentucky,KY,-,4,R+16,Thomas Massie,R,"94,065","233,922",0,28.7%,71.3%,0.0%,42.6%,"139,857",x,Trump
Kentucky,KY,-,5,R+25,Hal Rogers,R,0,"221,242",0,0.0%,100.0%,0.0%,100.0%,"221,242",x,Trump
Kentucky,KY,-,6,R+9,Andy Barr,R,"128,728","202,099",0,38.9%,61.1%,0.0%,22.2%,"73,371",x,Trump
Louisiana,LA,-,1,R+26,Steve Scalise,R,"63,785","243,645","19,358",19.5%,74.6%,5.9%,55.0%,"179,860",x,Trump
Louisiana,LA,-,2,D+23,Cedric Richmond,D,"284,269",0,0,100.0%,0.0%,0.0%,-100.0%,"-284,269",x,Clinton
Louisiana,LA,-,3,R+19,Clay Higgins,R,"56,215","258,632","5,607",17.5%,80.7%,1.7%,63.2%,"202,417",x,Trump
Louisiana,LA,-,4,R+13,Mike Johnson,R,"80,593","199,750","5,642",28.2%,69.8%,2.0%,41.7%,"119,157",x,Trump
Louisiana,LA,-,5,R+15,Ralph Abraham,R,0,"255,662",0,0.0%,100.0%,0.0%,100.0%,"255,662",x,Trump
Louisiana,LA,-,6,R+21,Garret Graves,R,"79,202","241,075","10,821",23.9%,72.8%,3.3%,48.9%,"161,873",x,Trump
Maine,ME,-,1,D+9,Chellie Pingree,D,"227,546","164,569",276,58.0%,41.9%,0.1%,-16.0%,"-62,977",x,Clinton
Maine,ME,-,2,D+2,Bruce Poliquin,R,"159,081","192,878",224,45.2%,54.8%,0.1%,9.6%,"33,797",x,Trump
Maryland,MD,-,1,R+14,Andy Harris,R,"103,622","242,574","15,901",28.6%,67.0%,4.4%,38.4%,"138,952",x,Trump
Maryland,MD,-,2,D+10,Dutch Ruppersberger,D,"192,183","102,577","14,720",62.1%,33.1%,4.8%,-29.0%,"-89,606",x,Clinton
Maryland,MD,-,3,D+9,John Sarbanes,D,"214,640","115,048","9,987",63.2%,33.9%,2.9%,-29.3%,"-99,592",x,Clinton
Maryland,MD,-,4,D+26,Anthony Brown,D,"237,501","68,670","14,479",74.1%,21.4%,4.5%,-52.7%,"-168,831",x,Clinton
Maryland,MD,-,5,D+14,Steny Hoyer,D,"242,989","105,931","11,714",67.4%,29.4%,3.2%,-38.0%,"-137,058",x,Clinton
Maryland,MD,-,6,D+4,John Delaney,D,"185,770","133,081","13,122",56.0%,40.1%,4.0%,-15.9%,"-52,689",x,Clinton
Maryland,MD,-,7,D+24,Elijah Cummings,D,"238,838","69,556","10,518",74.9%,21.8%,3.3%,-53.1%,"-169,282",x,Clinton
Maryland,MD,-,8,D+11,Jamie Raskin,D,"220,657","124,651","19,016",60.6%,34.2%,5.2%,-26.4%,"-96,006",x,Clinton
Massachusetts,MA,-,1,D+13,Richard Neal,D,"235,803",0,"85,736",73.3%,0.0%,26.7%,-73.3%,"-235,803",x,Clinton
Massachusetts,MA,-,2,D+8,Jim McGovern,D,"275,487",0,"4,924",98.2%,0.0%,1.8%,-98.2%,"-275,487",x,Clinton
Massachusetts,MA,-,3,D+6,Niki Tsongas,D,"236,713","107,519",360,68.7%,31.2%,0.1%,-37.5%,"-129,194",x,Clinton
Massachusetts,MA,-,4,D+6,Joe Kennedy,D,"265,823","113,055",335,70.1%,29.8%,0.1%,-40.3%,"-152,768",x,Clinton
Massachusetts,MA,-,5,D+14,Katherine Clark,D,"285,606",0,"4,201",98.6%,0.0%,1.4%,-98.6%,"-285,606",x,Clinton
